id,user_id,program_id,created_at,updated_at,start_at,end_at,state,average_score,deleted_at,sources_count,completed_program_item_ids,program_item_count
17,346,2,2016-08-30 15:24:56.64519,2016-09-27 17:14:13.245232,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.66215,1,{},2
18,340,2,2016-08-30 15:24:56.644918,2016-09-27 17:14:13.294134,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.642697,1,{},2
19,345,2,2016-08-30 15:24:56.645763,2016-09-27 17:14:13.331666,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.662424,1,{},2
20,347,2,2016-08-30 15:24:56.657203,2016-09-27 17:14:13.380795,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.684908,1,{},2
21,383,2,2016-08-30 15:24:57.432627,2016-09-27 17:14:13.42875,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.854784,1,{},2
5,15,4,2016-02-22 21:05:20.614545,2017-04-28 20:56:19,2016-02-22 07:00:00,,1,0,2017-04-28 20:56:18.319539,0,{},0
22,384,2,2016-08-30 15:24:57.435729,2016-09-27 17:14:13.479133,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.869268,1,{},2
23,382,5,2016-08-30 15:24:57.436517,2016-09-27 17:14:13.527101,2016-08-30 06:00:00,,0,0,2016-08-30 15:25:00.895019,1,{},2
